id,upvotes,edited,uncle joke,archived,comments,hash
82,6697,False,False,False,66,dad4357b248d44e961b50358de13edd53f0c98bbba5a6656156473ac488627fc1cfad74703a7fc8bf916c8bc6289786fcd81618ffb35642cdcf06f7853adb887
83,6647,False,False,True,87,e8727ed6e653cb2e4397733995f31295f770278fb514884d65e9f5cd05dd8b13698a0ee7d69ca8039e129e0875ea7c16fdff83ee0f83921c2001db6316cbd97b
84,6650,False,False,False,96,413e0de4e541330e039b0f8924957f7cbf4dd7f163004f9f11bb6f018418a661ca2960daa64f9fbeeb16aee0dba9ec9a9d31b5a5b18cf6bc4d517ec12d91b528
85,6600,False,False,False,116,f605ae67f3aa84664f6334a708e88dd7da5ed56ec7f04e1767ddcc85d3e2f453b4143df98ce8667e04e87ad08060189146234548bf8bee6d6d1c9964da99995e
86,6584,False,False,False,40,1902e3b00552a96f27478015e01852c1cd7739d90e286c01b068594f372026294cb76e26c10cf908d5cefe2ace93775d53ebdc1e8ac98ea80944bd4ad8566614
87,6572,False,False,True,218,7ae0825b355fcffcfa1a56db632e81678f73e2c6ee9215157d4c3bb7e4449949d0fbc0c4634341a8066ca4f56697425936b6e66a3b9a9cf11d78489364b6968a
88,6523,False,False,True,149,bb988a3d8d1f38b00ce575ef5a0cf427f33214353b00be65c876c35a0c2a8a43c6e7d52d1666ebfa1ec4afcee201e90e74d38f070e8b619b9ee5c8ddd4444dcb
89,6500,False,False,True,168,2e4f9d8080df1f391a8cc8176cef37073aca2f181da43644d2cd74f7773651a61f6403651d125edfe0d17eacaccf3e195ef8e5d289d01dc966f1e80409aff9ab
90,6471,False,False,False,53,33f7ecfde835f24267b737ea6b0a5fe91c48e17a80a8714b0711ee64544f17b5d7ebcf0b1400097f421d5f63cecaa008103c0a18ad88b89d10f352bc8e408848
91,6430,False,False,False,37,00b14cd4f7debfe83895653aa7fc8105fdb970179560a827f85ff7cf60ce2c9145ae44e4f940960f84903ceb0af867de9ef892ceb7b148198d1d9599bf757cf6
92,6379,False,False,False,180,4bfa34624e6f9e9621c9f5201e68973089755bef1483f44b7b52454c78373325457a86ee2e43e82da3eab08324e985d6d78abad52d60981072ea425ff93a4560
93,6358,False,False,True,64,759bdd0851be818f063055082fb48dbe9616771de2ff60ff15905479d8ddf12130f68e25c8fc94d493a429263ad0c0743b0818a3f4f03503bae0e721def14d5d
94,6284,False,False,True,64,61d1650735419c823b41915861ce5c90402f3975422c78a0e79a12f2582a3c87d0139ee1a470fc95a7878cffe6aa30521e8a90f2bbaee25aab97694b07e5ac2e
95,6258,False,False,True,95,ff65c2d4a12a6da5a62c71331b166c4ccce65cea9293a25b1425831dca10542127a755a08956bce89a814943ff7fb2e84c489cd3782b144a296633872de19ad3
96,6250,1439216192.0,False,True,128,4163d9f56791892a8776c0d1ccad0d27eef3341972d8493d8b3b8fc2d7105c3b81740b7a8e1e760284a048006036015247318b36be5defa1345352fc96f35c15
97,6231,False,False,False,105,bca14fad0b937f16184e1e0eb3cb77d4be25122c684c71289ff099dc45fb456fa0bc9c00d0f8c67e08c999bfbed3ded67a5e92b3dc8ec04ef15dc656a1aab728
98,6194,False,False,True,74,738dd52aa64bd2eec524d31d3fdd242286a1881c1e91cfcd9dc923d45304aa2638f862f31e886c79d72365cfc16f24c7743c7163040353a4741ac25a8af22184
99,6176,False,False,False,100,9f48ebcf782a59d68ddfa553f4f317cdbf8e9e9ff3d763585c1faa201f1f25b84e8f472a944316f59e51bd2c2fcc04b2dac104464f16e20dbbfae2895044c543
100,6166,False,False,True,73,fad9035c68f141c32a78e982b1488d9fd3a49e0aeea4e6c1194330f90fdc280848bcb195b3b33cc1b6431eca7f0cb5c998810ce180c0ae7d4e5a8cb4f9af2b28
101,6137,False,False,False,54,802788d67a427dad4e665d2d12d6dba3c4105ae2778c0f668eb862a558ecd4faee6959f75486bbadbdce4d7188286ba8b484aa564bff6b2924da2db157d4e069
102,6105,False,False,True,121,2999415fb33c85981211e396c01fef788ef9839d4063b2b29dbefab56ad43c33a5a55b69d162d0caadcb555a3e802de3c5061fb81505402642297f385880e5b0
103,6042,False,False,True,29,a0fbe96ad39cd7134226a7d915647ebf52fd8f350835767ab2b006d6e1a7970f2e9d830d0de5b3e4555a9eb7ef4d96ad67ebec5218e3738c222413d6dd6d5554
104,6019,1423875448.0,False,True,99,b54b295defe6f94f1c8eadaca30481ad8232d6c5993cbf642d2d4a43953d97704c7859a778163a013e488cfc397ded2957be329823ba5ae48bb6735b06b76694
